                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3035,                 2.2261,                 1.1894,                      1,                0.28903,                0.80977,                0.51535,                 1.2247,                 2.8072,                 1.1307,             0.00065608,             0.00065608,             0.00065608
                      2,                  1.294,                 1.4117,                 1.1532,                0.97044,                 0.8588,                 0.9115,                0.59323,                 1.2506,                 1.2642,                 1.1407,              0.0012966,              0.0012966,              0.0012966
                      3,                 1.3179,                 1.1781,                 1.1673,                0.95186,                0.87234,                0.94132,                0.61533,                  1.251,                 0.9487,                 1.1724,              0.0019106,              0.0019106,              0.0019106
                      4,                 1.2667,                 1.0038,                 1.1441,                0.93218,                0.91199,                0.94552,                0.57109,                 1.3138,                 1.0191,                 1.1737,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2839,                0.90638,                 1.1567,                0.94643,                0.90555,                0.94046,                0.58441,                 1.2261,                0.93011,                 1.1319,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.2655,                0.84318,                 1.1189,                0.96571,                0.92608,                0.96355,                0.63036,                 1.2106,                0.66321,                 1.1152,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.2207,                0.75833,                 1.1107,                0.96171,                0.93037,                0.96307,                0.62899,                 1.1708,                0.68494,                 1.0894,               0.001802,               0.001802,               0.001802
                      8,                 1.2379,                0.75188,                 1.1145,                0.96397,                 0.9207,                0.96285,                0.62145,                 1.2522,                0.69632,                 1.1476,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.2114,                0.75034,                 1.1066,                 0.9656,                0.94101,                0.97019,                0.62332,                  1.166,                0.65325,                 1.0757,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.2013,                0.71704,                  1.105,                0.96719,                0.94004,                0.96969,                0.63096,                 1.2139,                0.66071,                  1.108,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2057,                0.72564,                  1.098,                 0.9749,                0.93898,                0.97666,                0.66103,                 1.1355,                 0.5901,                 1.0638,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2059,                0.67433,                 1.0877,                0.96716,                0.93995,                0.97356,                0.66864,                 1.1524,                0.60192,                 1.0743,               0.001604,               0.001604,               0.001604
                     13,                 1.1692,                 0.6553,                 1.0836,                0.96654,                0.94985,                0.97456,                0.67791,                 1.1297,                0.59194,                 1.0623,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.1683,                0.65251,                 1.0853,                0.97294,                0.94778,                0.97739,                0.65909,                 1.1381,                0.62951,                 1.0782,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.1806,                0.64686,                 1.0854,                0.97217,                0.96132,                0.98037,                0.66394,                 1.1454,                0.57315,                 1.0687,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.1713,                0.63648,                 1.0823,                0.97642,                0.94197,                0.97989,                0.67378,                 1.1083,                0.56416,                 1.0502,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.1676,                0.62071,                 1.0907,                0.95023,                0.95068,                0.97221,                0.66488,                 1.1467,                 0.5754,                 1.0772,               0.001406,               0.001406,               0.001406
                     18,                 1.1471,                0.60673,                 1.0682,                0.96839,                0.94778,                0.97809,                0.66703,                 1.1242,                0.55927,                 1.0679,              0.0013664,              0.0013664,              0.0013664
                     19,                  1.151,                 0.5994,                 1.0824,                0.98345,                0.95261,                 0.9827,                0.68141,                 1.1068,                0.52333,                 1.0574,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.1239,                0.57387,                 1.0685,                0.98063,                0.96518,                0.98586,                0.70488,                 1.0588,                0.50602,                  1.025,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1335,                0.58536,                 1.0672,                0.98671,                0.96615,                0.98868,                0.68461,                 1.1014,                0.50539,                 1.0441,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.1227,                0.57627,                 1.0562,                0.97664,                0.97061,                0.98855,                0.69794,                 1.0638,                0.51435,                 1.0351,               0.001208,               0.001208,               0.001208
                     23,                 1.1008,                0.57514,                 1.0601,                0.98733,                0.96905,                0.99168,                0.71865,                 1.0359,                0.49562,                 1.0207,              0.0011684,              0.0011684,              0.0011684
